City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Teguise,29.0605,-13.564,73.62,73,20,19.57,ES,2021-09-27 17:53:48
1,Mutsu,41.2894,141.2169,57.99,81,91,8.52,JP,2021-09-27 17:53:48
2,Rikitea,-23.1203,-134.9692,73.09,73,15,21.5,PF,2021-09-27 17:53:49
3,Kapaa,22.0752,-159.319,77.32,78,20,13.8,US,2021-09-27 17:53:49
4,Gambiran,-6.7988,111.4951,76.55,74,55,5.46,ID,2021-09-27 17:53:49
5,New Norfolk,-42.7826,147.0587,45.91,69,74,1.01,AU,2021-09-27 17:53:50
6,Bodden Town,19.2833,-81.25,89.6,66,20,12.73,KY,2021-09-27 17:53:50
7,Upernavik,72.7868,-56.1549,26.62,56,29,2.48,GL,2021-09-27 17:53:50
8,Asau,46.4333,26.4,60.28,76,85,1.97,RO,2021-09-27 17:53:51
9,Saurimo,-9.6608,20.3916,71.46,66,100,2.98,AO,2021-09-27 17:53:51
10,Ulladulla,-35.35,150.4667,47.3,74,60,6.13,AU,2021-09-27 17:53:51
11,Forbes,-33.3833,148.0167,55.92,67,94,12.24,AU,2021-09-27 17:53:52
12,Elias,2.0117,-75.9397,81.5,42,10,6.89,CO,2021-09-27 17:53:52
13,Puerto Ayora,-0.7393,-90.3518,75.16,88,100,9.86,EC,2021-09-27 17:53:52
14,Westport,41.1415,-73.3579,80.1,55,73,1.01,US,2021-09-27 17:53:53
15,Rikitea,-23.1203,-134.9692,73.09,73,15,21.5,PF,2021-09-27 17:53:49
16,Ushuaia,-54.8,-68.3,51.42,53,40,5.75,AR,2021-09-27 17:53:53
17,La Ronge,55.1001,-105.2842,59.22,62,40,8.05,CA,2021-09-27 17:53:53
18,Cape Town,-33.9258,18.4232,60.28,59,40,10.36,ZA,2021-09-27 17:53:54
19,Sao Filipe,14.8961,-24.4956,81.07,75,36,11.07,CV,2021-09-27 17:53:54
20,Pirmasens,49.2015,7.6053,66.83,79,100,6.2,DE,2021-09-27 17:53:55
21,Mataura,-46.1927,168.8643,40.48,86,36,2.86,NZ,2021-09-27 17:53:55
22,Atuona,-9.8,-139.0333,77.94,73,69,19.86,PF,2021-09-27 17:53:55
23,Alofi,-19.0595,-169.9187,66.09,100,40,3.44,NU,2021-09-27 17:53:56
24,Punta Arenas,-53.15,-70.9167,50.11,53,75,28.77,CL,2021-09-27 17:49:42
25,Rikitea,-23.1203,-134.9692,73.09,73,15,21.5,PF,2021-09-27 17:53:49
26,San Ignacio,17.1561,-89.0714,86.14,74,40,6.91,BZ,2021-09-27 17:53:56
27,Matveyev Kurgan,47.5645,38.8695,56.52,59,98,6.44,RU,2021-09-27 17:53:57
28,Awjilah,29.1081,21.2869,80.17,27,2,9.35,LY,2021-09-27 17:53:57
29,Castro,-24.7911,-50.0119,85.3,30,2,5.01,BR,2021-09-27 17:53:57
30,Kapaa,22.0752,-159.319,77.32,78,20,13.8,US,2021-09-27 17:53:49
31,Mtsamboro,-12.6998,45.0689,76.32,75,1,1.72,YT,2021-09-27 17:53:58
32,Ushuaia,-54.8,-68.3,51.42,53,40,5.75,AR,2021-09-27 17:53:53
33,Carnarvon,-24.8667,113.6333,62.67,67,2,12.66,AU,2021-09-27 17:53:59
34,Atuona,-9.8,-139.0333,77.94,73,69,19.86,PF,2021-09-27 17:53:55
35,Ushuaia,-54.8,-68.3,51.42,53,40,5.75,AR,2021-09-27 17:53:53
36,Bengkulu,-3.8004,102.2655,76.24,92,98,3.56,ID,2021-09-27 17:54:00
37,Berdigestyakh,62.0989,126.6992,36.37,77,100,10.87,RU,2021-09-27 17:54:00
38,Port-Gentil,-0.7193,8.7815,80.56,78,75,12.66,GA,2021-09-27 17:54:00
39,Busselton,-33.65,115.3333,49.53,92,8,7.81,AU,2021-09-27 17:54:01
40,Hobart,-42.8794,147.3294,46.26,82,75,3.0,AU,2021-09-27 17:54:01
41,Havoysund,70.9963,24.6622,59.88,80,89,10.11,NO,2021-09-27 17:54:02
42,Severo-Kurilsk,50.6789,156.125,47.57,91,22,8.97,RU,2021-09-27 17:54:02
43,Makakilo City,21.3469,-158.0858,77.29,71,75,4.61,US,2021-09-27 17:54:02
44,Mastic Beach,40.7668,-72.8521,79.47,59,1,1.99,US,2021-09-27 17:54:03
45,Cuddapah,14.4667,78.8167,76.44,76,99,3.0,IN,2021-09-27 17:54:03
46,Martapura,-3.4167,114.85,75.83,90,74,2.01,ID,2021-09-27 17:54:04
47,Castro,-24.7911,-50.0119,85.3,30,2,5.01,BR,2021-09-27 17:53:57
48,Oranjemund,-28.55,16.4333,56.62,78,98,13.67,NA,2021-09-27 17:54:04
49,Inhambane,-23.865,35.3833,75.18,60,20,7.0,MZ,2021-09-27 17:54:04
50,Yulara,-25.2406,130.9889,66.04,26,6,5.75,AU,2021-09-27 17:54:05
51,Nelson Bay,-32.7167,152.15,58.08,79,78,13.49,AU,2021-09-27 17:54:05
52,Kavieng,-2.5744,150.7967,81.64,77,90,9.15,PG,2021-09-27 17:54:06
53,Matay,28.419,30.7792,79.25,35,0,6.69,EG,2021-09-27 17:54:06
54,Benghazi,32.1167,20.0667,76.48,65,16,12.62,LY,2021-09-27 17:54:06
55,Quang Ngai,15.1167,108.8,74.97,90,27,5.21,VN,2021-09-27 17:52:55
56,Isangel,-19.55,169.2667,69.44,81,77,8.68,VU,2021-09-27 17:54:06
57,Mendeleyevsk,55.9082,52.2905,38.44,84,100,17.72,RU,2021-09-27 17:54:07
58,Georgetown,5.4112,100.3354,77.95,94,40,5.01,MY,2021-09-27 17:54:07
59,Axim,4.8699,-2.2405,77.34,87,100,7.05,GH,2021-09-27 17:54:07
60,Fukuma,33.7667,130.4667,76.28,82,89,5.46,JP,2021-09-27 17:54:07
61,Itarema,-2.9248,-39.9167,86.27,62,41,19.57,BR,2021-09-27 17:54:08
62,Panguna,-6.3164,155.4848,67.46,94,98,1.3,PG,2021-09-27 17:54:08
63,Wuwei,37.9281,102.6414,62.46,39,56,5.35,CN,2021-09-27 17:54:09
64,Lagdo,9.05,13.7333,85.32,83,69,5.3,CM,2021-09-27 17:54:09
65,Le Portel,50.7056,1.5757,60.69,88,7,16.75,FR,2021-09-27 17:54:09
66,Svay Rieng,11.0879,105.7993,78.53,88,70,6.4,KH,2021-09-27 17:54:10
67,Partizanskoye,55.5006,94.39,34.25,95,97,7.23,RU,2021-09-27 17:54:10
68,Northam,51.0333,-4.2167,59.02,78,3,15.93,GB,2021-09-27 17:54:10
69,Mataura,-46.1927,168.8643,40.48,86,36,2.86,NZ,2021-09-27 17:53:55
70,Ust-Kuyga,70.0167,135.6,25.7,97,98,1.79,RU,2021-09-27 17:54:10
71,Hattiesburg,31.3271,-89.2903,83.21,57,1,0.0,US,2021-09-27 17:51:59
72,Mnogovershinnyy,53.9353,139.9242,47.16,94,100,3.91,RU,2021-09-27 17:54:11
73,Vila Velha,-20.3297,-40.2925,82.35,68,40,19.57,BR,2021-09-27 17:54:11
74,Port Alfred,-33.5906,26.891,65.07,89,81,21.56,ZA,2021-09-27 17:54:11
75,Puerto Ayora,-0.7393,-90.3518,75.16,88,100,9.86,EC,2021-09-27 17:53:52
76,Ahipara,-35.1667,173.1667,49.41,72,30,9.15,NZ,2021-09-27 17:54:12
77,Rafaela,-31.2503,-61.4867,93.0,24,0,1.99,AR,2021-09-27 17:54:12
78,Puerto Baquerizo Moreno,-0.9,-89.6,68.86,87,93,10.74,EC,2021-09-27 17:54:12
